OCCUPANCY_DATE,SHELTER_NAME,SECTOR,OCCUPANCY,CAPACITY
2018-01-02,Family Residence,Families,216,252
2018-01-02,Family Residence,Families,54,48
2018-01-02,Family Residence,Families,172,110
2018-01-02,Family Residence,Families,52,50
2018-01-02,Family Residence,Families,103,125
2018-01-02,Fort York Residence,Co-ed,21,21
2018-01-02,Fort York Residence,Men,1,21
2018-01-02,Fort York Residence,Men,71,74
2018-01-02,Fort York Residence,Men,22,24
2018-01-02,Robertson House,Families,100,90
2018-01-02,S2H Assessment and Referral Ctre,Men,2,2
2018-01-02,S2H Assessment and Referral Ctre,Co-ed,37,40
2018-01-02,Seaton House,Men,28,28
2018-01-02,Seaton House,Men,27,27
2018-01-02,Seaton House,Men,78,80
2018-01-02,Seaton House,Men,61,64
2018-01-02,Seaton House,Men,239,240
2018-01-02,Seaton House,Men,25,42
2018-01-02,Seaton House,Men,100,100
2018-01-02,Women's Residence,Women,32,36
2018-01-02,Women's Residence,Women,9,10
2018-01-02,Women's Residence,Women,13,13
2018-01-02,Women's Residence,Women,103,103
2018-01-02,Cornerstone Place,Men,56,56
2018-01-02,Covenant House,Youth,2,2
2018-01-02,Covenant House,Youth,90,94
2018-01-02,Covenant House,Youth,28,28
2018-01-02,Dixon Hall - Heyworth House,Co-ed,9,9
2018-01-02,Dixon Hall - Heyworth House,Co-ed,74,74
2018-01-02,Dixon Hall - Schoolhouse,Men,42,42
2018-01-02,Eva's Phoenix,Youth,49,50
2018-01-02,Eva's Place,Youth,39,40
2018-01-02,Eva's Satellite,Youth,32,32
2018-01-02,Eva's Satellite,Youth,1,1
2018-01-02,Fife House Transitional Program,Co-ed,5,5
2018-01-02,Fife House Transitional Program,Co-ed,11,11
2018-01-02,FV Women's Transition to Housing,Women,23,23
2018-01-02,FV Women's Transition to Housing,Women,37,37
2018-01-02,Fred Victor Women's Hostel,Women,4,4
2018-01-02,Fred Victor Women's Hostel,Women,41,42
2018-01-02,"Fred Victor, BUS",Co-ed,10,10
2018-01-02,"Fred Victor, BUS",Co-ed,60,60
2018-01-02,Good Shepherd Centre,Men,5,5
2018-01-03,Birchmount Residence,Men,54,60
2018-01-02,Good Shepherd Centre,Men,70,70
2018-01-02,Good Shepherd Centre,Men,25,25
2018-01-02,HFS - Kennedy Shelter,Women,88,90
2018-01-02,HFS - Savard's Womens' Shelter,Women,28,30
2018-01-02,HFS - Scarborough Shelter,Co-ed,65,67
2018-01-02,HFS - Strachan House,Co-ed,5,5
2018-01-02,HFS - Strachan House,Co-ed,82,83
2018-01-02,Horizons for Youth,Youth,43,45
2018-01-02,Kennedy House Youth shelter,Youth,40,40
2018-01-02,Na-Me-Res,Men,71,71
2018-01-02,Na-Me-Res,Men,19,20
2018-01-02,Eagles Nest Transition House,Youth,11,12
2018-01-02,SVDP - Amelie House,Women,20,20
2018-01-02,SVDP - Elisa House,Women,40,40
2018-01-02,SVDP - Mary's Home,Women,6,6
2018-01-02,SVDP - Mary's Home,Women,38,38
2018-01-02,SVDP - St. Clare's Residence,Women,30,30
2018-01-02,St. Simon's Shelter,Men,5,5
2018-01-02,St. Simon's Shelter,Men,57,57
2018-01-02,Street Haven,Women,45,46
2018-01-02,Street Haven,Women,4,4
2018-01-02,Sojourn House,Families,90,76
2018-01-02,Sojourn House,Co-ed,85,85
2018-01-02,Salvation Army - Evangeline Res,Women,9,9
2018-01-02,Salvation Army - Evangeline Res,Women,88,90
2018-01-02,Salvation Army - Florence Booth,Women,4,4
2018-01-02,Salvation Army - Florence Booth,Women,60,60
2018-01-02,Salvation Army - Gateway,Men,12,12
2018-01-02,Salvation Army - Gateway,Men,108,108
2018-01-02,Salvation Army - Hope,Men,0,0
2018-01-02,Salvation Army - Hope,Men,0,0
2018-01-02,Salvation Army - Maxwell Meighen,Men,44,45
2018-01-02,Salvation Army - Maxwell Meighen,Men,18,18
2018-01-02,Salvation Army - Maxwell Meighen,Men,270,270
2018-01-02,Salvation Army - Maxwell Meighen,Men,10,10
2018-01-02,Scott Mission Men's Ministry,Men,19,19
2018-01-02,Scott Mission Men's Ministry,Men,53,53
2018-01-02,Toronto Community Hostel,Co-ed,12,13
2018-01-02,Toronto Community Hostel,Families,11,14
2018-01-02,Turning Point Youth Services,Youth,34,35
2018-01-02,Univ Settlement House - OOTC,Co-ed,0,85
2018-01-02,Red Door Queen Street,Families,99,98
2018-01-02,YMCA House,Youth,40,40
2018-01-02,YMCA Sprott House,Youth,24,25
2018-01-02,YWCA - First Stop Woodlawn,Women,28,28
2018-01-02,YWCA - First Stop Woodlawn,Youth,27,28
2018-01-02,Youth Without Shelter,Youth,33,33
2018-01-02,Youth Without Shelter,Youth,19,20
2018-01-03,COSTI Reception Centre,Families,318,330
2018-01-03,COSTI Reception Centre,Co-ed,16,25
2018-01-03,COSTI Reception Centre,Families,324,400
2018-01-03,COSTI Reception Centre,Co-ed,16,16
2018-01-03,Christie Ossington Men's Hostel,Men,4,17
2018-01-03,Christie Ossington Men's Hostel,Men,58,63
2018-01-03,Christie Ossington Men's Hostel,Men,30,30
2018-01-03,Christie Refugee Welcome Centre,Women,0,4
2018-01-03,Christie Refugee Welcome Centre,Families,68,72
2018-01-03,Birkdale Residence,Families,172,160
2018-01-03,Birkdale Residence,Families,181,205
2018-01-03,Birkdale Residence,Men,20,36
2018-01-03,Birkdale Residence,Co-ed,1,2
2018-01-03,Downsview Dells,Men,25,28
2018-01-03,Family Residence,Co-ed,0,0
2018-01-03,Family Residence,Families,218,252
2018-01-03,Family Residence,Families,57,48
2018-01-03,Family Residence,Families,182,110
2018-01-03,Family Residence,Families,52,50
2018-01-03,Family Residence,Families,103,125
2018-01-03,Fort York Residence,Co-ed,21,21
2018-01-03,Fort York Residence,Men,0,21
2018-01-03,Fort York Residence,Men,71,74
2018-01-03,Fort York Residence,Men,23,24
2018-01-05,Horizons for Youth,Youth,44,45
2018-01-03,Robertson House,Families,103,90
2018-01-03,S2H Assessment and Referral Ctre,Men,2,2
2018-01-03,S2H Assessment and Referral Ctre,Co-ed,37,40
2018-01-03,Seaton House,Men,28,28
2018-01-03,Seaton House,Men,27,27
2018-01-03,Seaton House,Men,79,80
2018-01-03,Seaton House,Men,63,64
2018-01-03,Seaton House,Men,234,240
2018-01-03,Seaton House,Men,26,42
2018-01-03,Seaton House,Men,100,100
2018-01-03,Women's Residence,Women,34,36
2018-01-03,Women's Residence,Women,10,10
2018-01-03,Women's Residence,Women,13,13
2018-01-03,Women's Residence,Women,102,103
2018-01-03,Cornerstone Place,Men,56,56
2018-01-09,Fort York Residence,Men,72,74
2018-01-03,Covenant House,Youth,2,2
2018-01-03,Covenant House,Youth,93,94
2018-01-03,Covenant House,Youth,28,28
2018-01-03,Dixon Hall - Heyworth House,Co-ed,9,9
2018-01-03,Dixon Hall - Heyworth House,Co-ed,73,74
2018-01-03,Dixon Hall - Schoolhouse,Men,42,42
2018-01-03,Eva's Phoenix,Youth,49,50
2018-01-03,Eva's Place,Youth,40,40
2018-01-03,Eva's Satellite,Youth,31,32
2018-01-03,Eva's Satellite,Youth,1,1
2018-01-03,Fife House Transitional Program,Co-ed,5,5
2018-01-03,Fife House Transitional Program,Co-ed,11,11
2018-01-03,FV Women's Transition to Housing,Women,23,23
2018-01-03,FV Women's Transition to Housing,Women,37,37
2018-01-03,Fred Victor Women's Hostel,Women,4,4
2018-01-03,Fred Victor Women's Hostel,Women,40,42
2018-01-03,"Fred Victor, BUS",Co-ed,10,10
2018-01-03,"Fred Victor, BUS",Co-ed,60,60
2018-01-03,Good Shepherd Centre,Men,5,5
2018-01-03,Good Shepherd Centre,Men,70,70
2018-01-03,Good Shepherd Centre,Men,25,25
